Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
114.130.89.94:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2094
208.102.51.6:58208,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2823
184.178.172.11:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1043
47.90.167.27:3128,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4208
174.77.111.197:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1057
46.188.2.42:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3578
213.165.185.211:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4781
8.146.200.53:80,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4597
43.155.215.149:20000,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1551
8.215.12.103:8000,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5552
124.41.213.174:5678,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6063
47.238.60.156:8080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4431
103.149.75.82:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1741
186.96.16.117:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,686
147.45.66.116:1082,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,3341
177.131.121.234:5432,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2754
45.61.129.165:9050,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2190
94.72.158.129:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6614
144.124.227.88:3129,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4261
68.71.252.38:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,433
62.60.230.196:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4291
98.182.147.97:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1046
177.152.106.74:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1787
72.207.109.5:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1047
39.102.213.3:3129,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4595
47.92.194.235:3129,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4617
72.195.114.184:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1045
24.249.199.4:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1050
24.249.199.12:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1060
174.77.111.196:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1039
174.77.111.197:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1046
72.195.34.58:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1036
47.90.167.27:800,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,8113
98.170.57.231:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1055
184.178.172.14:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1035
184.181.217.210:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1036
98.188.47.132:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1062
72.195.114.169:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1035
184.181.217.206:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1050
98.188.47.150:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1058
184.178.172.3:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1050
184.178.172.11:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1049
184.181.217.213:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1049
184.178.172.17:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1068
184.181.217.201:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1049
184.181.217.194:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1053
192.111.138.29:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,939
184.181.217.220:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1044
192.111.139.165:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,939
192.111.139.162:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,923
192.111.137.35:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,939
192.111.130.2:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,937
98.170.57.249:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1064
72.195.34.60:27391,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1082
184.178.172.28:15294,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1046
198.8.94.170:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,944
184.178.172.23:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1091
184.178.172.26:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1057
192.252.216.81:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,937
98.181.137.83:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1052
68.1.210.163:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1040
74.119.147.209:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,935
74.119.144.60:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,923
98.181.137.80:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1047
199.58.185.9:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,952
184.170.248.5:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,940
199.229.254.129:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,944
184.178.172.13:15311,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1054
68.1.210.189:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1074
174.75.211.222:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1071
72.195.101.99:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1089
177.74.141.8:5432,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,5712
72.214.108.67:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1039
68.71.252.38:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,436
67.201.35.145:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,464
