Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
202.84.76.190:5678,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"CityLink Corporation, LTD",1880
36.37.189.64:5678,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"VIETTEL (CAMBODIA) PTE., LTD",1897
103.197.242.106:1080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"COGETEL Co., Ltd",3098
124.248.164.36:1080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"COGETEL Co., Ltd",1840
124.248.164.36:1080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"COGETEL Co., Ltd",4821
103.197.242.106:1080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"COGETEL Co., Ltd",6907
96.9.88.130:4153,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,S.I Group,5931
122.252.179.66:5678,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,Phnom Penh Cable TV,9469
122.252.183.22:4153,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,Phnom Penh Cable TV,7046
110.74.195.152:1080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,"EZECOM CO., LTD.",1921
202.178.114.61:4145,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,Angkor Data Communication,3886
96.9.77.71:51080,SOCKS4,Cambodia,KH,🇰🇭,0,low,No,SIGROUPS,7027
119.15.89.87:5678,SOCKS4,Cambodia,KH,🇰🇭,0,low,Yes,WiCAM Corporation Ltd,3907
119.15.89.87:5678,SOCKS4,Cambodia,KH,🇰🇭,0,low,Yes,WiCAM Corporation Ltd,2888
175.100.37.171:1080,SOCKS4,Cambodia,KH,🇰🇭,11,low,No,"VIETTEL (CAMBODIA) PTE., LTD",4998
36.37.203.215:4153,SOCKS4,Cambodia,KH,🇰🇭,11,low,No,"VIETTEL (CAMBODIA) PTE., LTD",5045
116.212.156.72:1080,SOCKS4,Cambodia,KH,🇰🇭,11,low,No,MekongNet,6003
