Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP
185.157.111.3:5678,SOCKS4,Estonia,EE,🇪🇪,0,low,No,SkyLive Telecom ldt
91.235.234.226:1080,SOCKS4,Estonia,EE,🇪🇪,53,medium,No,BlueVPS OU
