Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP
130.0.235.99:10001,HTTP,Ukraine,UA,🇺🇦,0,low,No,Green Floid LLC
130.0.235.200:10001,HTTP,Ukraine,UA,🇺🇦,0,low,No,Green Floid LLC
176.105.199.153:8010,HTTP,Ukraine,UA,🇺🇦,0,low,No,NPK Home-Net Ltd
31.202.49.61:33761,HTTP,Ukraine,UA,🇺🇦,0,low,No,Maxnet LLC
94.179.153.218:8081,HTTP,Ukraine,UA,🇺🇦,0,low,No,UKRTELECOM
85.159.2.31:58080,HTTP,Ukraine,UA,🇺🇦,7,low,No,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP"""
130.0.238.37:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.232.100:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.236.81:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.239.40:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.238.57:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.238.207:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
130.0.237.170:10001,HTTP,Ukraine,UA,🇺🇦,20,medium,No,UK-3NT
