Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP
47.91.121.127:9080,HTTP,United Arab Emirates,AE,🇦🇪,0,low,No,Alibaba Cloud LLC
47.91.115.179:9091,HTTP,United Arab Emirates,AE,🇦🇪,0,low,No,Alibaba Cloud LLC
47.91.115.179:31433,HTTP,United Arab Emirates,AE,🇦🇪,0,low,No,Alibaba Cloud LLC
47.91.110.148:5060,HTTP,United Arab Emirates,AE,🇦🇪,0,low,Yes,Alibaba Cloud LLC
47.91.109.17:1720,HTTP,United Arab Emirates,AE,🇦🇪,0,low,Yes,Alibaba Cloud LLC
47.91.109.17:123,HTTP,United Arab Emirates,AE,🇦🇪,0,low,Yes,Alibaba Cloud LLC
47.91.109.17:1337,HTTP,United Arab Emirates,AE,🇦🇪,0,low,Yes,Alibaba Cloud LLC
47.91.115.179:18081,HTTP,United Arab Emirates,AE,🇦🇪,0,low,No,Alibaba Cloud LLC
47.91.120.190:8081,HTTP,United Arab Emirates,AE,🇦🇪,0,low,No,Alibaba Cloud LLC
47.91.110.148:20,HTTP,United Arab Emirates,AE,🇦🇪,0,low,Yes,Alibaba Cloud LLC
